time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-23 00:00:00+00:00,4.0,3.0,23.0,1.0
2022-11-24 00:00:00+00:00,,,11.0,2.0
2022-11-25 00:00:00+00:00,,,24.0,4.0
2022-11-26 00:00:00+00:00,,,5.0,2.0
2022-11-28 00:00:00+00:00,2.0,2.0,47.0,9.0
2022-11-29 00:00:00+00:00,3.0,2.0,23.0,2.0
2022-11-30 00:00:00+00:00,3.0,2.0,23.0,6.0
2022-12-01 00:00:00+00:00,1.0,1.0,,
2022-12-02 00:00:00+00:00,5.0,2.0,15.0,1.0
2022-12-03 00:00:00+00:00,,,18.0,6.0
2022-12-05 00:00:00+00:00,1.0,1.0,5.0,3.0
2022-12-06 00:00:00+00:00,1.0,1.0,2.0,1.0
