time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-13 00:00:00+00:00,0,0,1,1
2022-11-15 00:00:00+00:00,0,0,3,1
2022-11-17 00:00:00+00:00,0,0,2,2
2022-11-19 00:00:00+00:00,0,0,5,2
2022-11-20 00:00:00+00:00,0,0,3,2
2022-11-21 00:00:00+00:00,6,4,23,1
2022-11-22 00:00:00+00:00,7,4,151,7
2022-11-23 00:00:00+00:00,4,3,23,1
2022-11-24 00:00:00+00:00,0,0,11,2
2022-11-25 00:00:00+00:00,0,0,24,4
2022-11-26 00:00:00+00:00,0,0,5,2
2022-11-28 00:00:00+00:00,2,2,47,9
2022-11-29 00:00:00+00:00,3,2,23,2
2022-11-30 00:00:00+00:00,3,2,23,6
2022-12-01 00:00:00+00:00,1,1,0,0
2022-12-02 00:00:00+00:00,5,2,15,1
2022-12-03 00:00:00+00:00,0,0,18,6
2022-12-05 00:00:00+00:00,1,1,5,3
2022-12-06 00:00:00+00:00,1,1,2,1
2022-12-07 00:00:00+00:00,2,1,40,8
2022-12-08 00:00:00+00:00,0,0,2,1
2022-12-09 00:00:00+00:00,0,0,9,6
2022-12-10 00:00:00+00:00,0,0,1,1
2022-12-12 00:00:00+00:00,5,3,23,3
2022-12-13 00:00:00+00:00,0,0,14,1
2022-12-14 00:00:00+00:00,0,0,3,2
2022-12-15 00:00:00+00:00,0,0,1,1
2022-12-17 00:00:00+00:00,0,0,5,4
2022-12-19 00:00:00+00:00,0,0,1,1
2022-12-21 00:00:00+00:00,0,0,2,1
2022-12-23 00:00:00+00:00,0,0,1,1
2022-12-26 00:00:00+00:00,0,0,1,1
2022-12-30 00:00:00+00:00,1,1,0,0
2022-12-31 00:00:00+00:00,1,1,0,0
2023-01-02 00:00:00+00:00,0,0,3,1
2023-01-03 00:00:00+00:00,6,3,76,4
2023-01-04 00:00:00+00:00,4,3,47,4
2023-01-05 00:00:00+00:00,0,0,7,2
2023-01-07 00:00:00+00:00,2,1,2,1
2023-01-08 00:00:00+00:00,1,1,0,0
2023-01-10 00:00:00+00:00,1,1,1,1
2023-01-12 00:00:00+00:00,0,0,7,3
2023-01-13 00:00:00+00:00,0,0,3,2
2023-01-15 00:00:00+00:00,0,0,6,2
2023-01-17 00:00:00+00:00,0,0,1,1
