time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-24 00:00:00+00:00,1.0,1.0,12,5
2025-01-25 00:00:00+00:00,,,25,11
2025-01-26 00:00:00+00:00,,,27,8
2025-01-27 00:00:00+00:00,,,6,4
2025-01-28 00:00:00+00:00,,,8,6
2025-01-29 00:00:00+00:00,3.0,1.0,8,6
2025-01-30 00:00:00+00:00,2.0,2.0,17,8
2025-01-31 00:00:00+00:00,4.0,4.0,33,6
2025-02-01 00:00:00+00:00,1.0,1.0,14,6
2025-02-02 00:00:00+00:00,2.0,1.0,1,1
2025-02-03 00:00:00+00:00,3.0,3.0,10,7
2025-02-04 00:00:00+00:00,5.0,4.0,10,4
2025-02-05 00:00:00+00:00,5.0,4.0,7,5
2025-02-06 00:00:00+00:00,4.0,1.0,25,4
