time_iso8601,stars_cumulative
2021-12-19 00:00:00+00:00,1
2021-12-26 00:00:00+00:00,2
2022-01-03 00:00:00+00:00,3
2022-01-06 00:00:00+00:00,4
2022-01-11 00:00:00+00:00,5
2022-01-15 00:00:00+00:00,6
2022-01-29 00:00:00+00:00,11
2022-01-30 00:00:00+00:00,12
2022-02-02 00:00:00+00:00,13
2022-03-04 00:00:00+00:00,14
2022-03-14 00:00:00+00:00,15
2022-03-31 00:00:00+00:00,17
2022-04-08 00:00:00+00:00,18
2022-04-11 00:00:00+00:00,19
2022-04-14 00:00:00+00:00,20
2022-04-18 00:00:00+00:00,21
2022-04-19 00:00:00+00:00,23
2022-04-27 00:00:00+00:00,24
2022-05-04 00:00:00+00:00,25
2022-05-15 00:00:00+00:00,26
2022-05-22 00:00:00+00:00,27
2022-05-25 00:00:00+00:00,28
2022-05-30 00:00:00+00:00,29
2022-06-08 00:00:00+00:00,30
2022-06-26 00:00:00+00:00,31
2022-07-03 00:00:00+00:00,32
2022-07-13 00:00:00+00:00,33
2022-07-19 00:00:00+00:00,35
2022-07-27 00:00:00+00:00,36
2022-08-06 00:00:00+00:00,37
2022-08-10 00:00:00+00:00,38
2022-08-11 00:00:00+00:00,39
2022-08-19 00:00:00+00:00,40
2022-09-05 00:00:00+00:00,41
2022-09-06 00:00:00+00:00,42
2022-09-08 00:00:00+00:00,43
2022-09-09 00:00:00+00:00,44
2022-09-13 00:00:00+00:00,45
2022-10-09 00:00:00+00:00,46
2022-10-11 00:00:00+00:00,47
2022-10-17 00:00:00+00:00,49
2022-10-20 00:00:00+00:00,50
2022-10-21 00:00:00+00:00,52
2022-10-23 00:00:00+00:00,53
2022-10-25 00:00:00+00:00,54
2022-10-26 00:00:00+00:00,55
2022-11-01 00:00:00+00:00,56
2022-11-03 00:00:00+00:00,57
2022-11-07 00:00:00+00:00,58
2022-11-12 00:00:00+00:00,59
2022-11-19 00:00:00+00:00,61
2022-11-20 00:00:00+00:00,62
2022-11-21 00:00:00+00:00,63
2022-11-28 00:00:00+00:00,64
2022-12-27 00:00:00+00:00,66
2022-12-28 00:00:00+00:00,67
2023-01-04 00:00:00+00:00,68
2023-01-12 00:00:00+00:00,69
2023-01-18 00:00:00+00:00,70
2023-01-19 00:00:00+00:00,71
2023-02-04 00:00:00+00:00,72
2023-02-07 00:00:00+00:00,73
2023-02-12 00:00:00+00:00,74
2023-02-16 00:00:00+00:00,75
2023-02-22 00:00:00+00:00,76
2023-02-23 00:00:00+00:00,78
