time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-13 00:00:00+00:00,0,0,3,1
2022-11-14 00:00:00+00:00,1,1,42,11
2022-11-15 00:00:00+00:00,2,2,56,15
2022-11-16 00:00:00+00:00,1,1,56,13
2022-11-17 00:00:00+00:00,1,1,61,17
2022-11-18 00:00:00+00:00,0,0,87,13
2022-11-19 00:00:00+00:00,1,1,78,17
2022-11-20 00:00:00+00:00,1,1,76,8
2022-11-21 00:00:00+00:00,6,3,116,13
2022-11-22 00:00:00+00:00,5,4,105,13
2022-11-23 00:00:00+00:00,1,1,33,5
2022-11-24 00:00:00+00:00,2,2,21,7
2022-11-25 00:00:00+00:00,1,1,79,6
2022-11-26 00:00:00+00:00,1,1,56,11
2022-11-27 00:00:00+00:00,4,4,22,6
2022-11-28 00:00:00+00:00,1,1,35,15
2022-11-29 00:00:00+00:00,0,0,73,16
2022-11-30 00:00:00+00:00,2,2,76,18
2022-12-01 00:00:00+00:00,5,4,52,9
2022-12-02 00:00:00+00:00,5,3,48,9
2022-12-03 00:00:00+00:00,7,3,122,22
2022-12-04 00:00:00+00:00,0,0,50,11
2022-12-05 00:00:00+00:00,2,2,52,10
2022-12-06 00:00:00+00:00,7,5,39,12
2022-12-07 00:00:00+00:00,5,3,33,7
2022-12-08 00:00:00+00:00,2,2,39,14
2022-12-09 00:00:00+00:00,2,2,24,6
2022-12-10 00:00:00+00:00,0,0,15,3
2022-12-11 00:00:00+00:00,1,1,8,4
2022-12-12 00:00:00+00:00,4,3,9,5
2022-12-13 00:00:00+00:00,3,1,148,12
2022-12-14 00:00:00+00:00,3,2,33,15
