time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-31 00:00:00+00:00,34.0,28.0,,
2023-04-01 00:00:00+00:00,67.0,43.0,1.0,1.0
2023-04-02 00:00:00+00:00,64.0,38.0,,
2023-04-03 00:00:00+00:00,69.0,45.0,,
2023-04-04 00:00:00+00:00,69.0,39.0,1.0,1.0
2023-04-05 00:00:00+00:00,69.0,39.0,,
2023-04-06 00:00:00+00:00,67.0,41.0,7.0,2.0
2023-04-07 00:00:00+00:00,23.0,22.0,6.0,1.0
2023-04-09 00:00:00+00:00,,,4.0,3.0
2023-04-12 00:00:00+00:00,1.0,1.0,2.0,1.0
2023-04-13 00:00:00+00:00,60.0,41.0,,
