time_iso8601,stars_cumulative
2022-06-16 00:00:00+00:00,1
2022-06-27 00:00:00+00:00,2
2022-07-11 00:00:00+00:00,3
2022-07-12 00:00:00+00:00,4
2022-07-14 00:00:00+00:00,6
2022-07-26 00:00:00+00:00,7
2022-11-19 00:00:00+00:00,11
2022-11-23 00:00:00+00:00,15
2022-11-24 00:00:00+00:00,18
2022-11-25 00:00:00+00:00,20
2022-11-26 00:00:00+00:00,21
2022-11-27 00:00:00+00:00,22
2022-11-28 00:00:00+00:00,25
2022-11-29 00:00:00+00:00,28
2022-11-30 00:00:00+00:00,30
2022-12-12 00:00:00+00:00,31
2022-12-14 00:00:00+00:00,32
2022-12-25 00:00:00+00:00,33
