time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-13 00:00:00+00:00,1.0,1.0,,
2023-11-15 00:00:00+00:00,,,12.0,1.0
2023-11-16 00:00:00+00:00,,,6.0,1.0
2023-11-17 00:00:00+00:00,1.0,1.0,1.0,1.0
2023-11-18 00:00:00+00:00,,,4.0,1.0
2023-11-19 00:00:00+00:00,1.0,1.0,,
2023-11-20 00:00:00+00:00,,,1.0,1.0
2023-11-21 00:00:00+00:00,1.0,1.0,1.0,1.0
2023-11-23 00:00:00+00:00,,,32.0,2.0
2023-11-24 00:00:00+00:00,,,31.0,2.0
2023-11-25 00:00:00+00:00,2.0,1.0,5.0,1.0
2023-11-26 00:00:00+00:00,,,12.0,2.0
