time_iso8601,stars_cumulative
2022-10-21 00:00:00+00:00,1
2022-10-24 00:00:00+00:00,13
2022-10-25 00:00:00+00:00,14
2022-11-01 00:00:00+00:00,15
2022-11-10 00:00:00+00:00,16
2022-12-15 00:00:00+00:00,17
2023-02-24 00:00:00+00:00,18
2023-04-17 00:00:00+00:00,19
2023-07-28 00:00:00+00:00,20
2023-08-30 00:00:00+00:00,21
2024-01-16 00:00:00+00:00,22
2024-01-22 00:00:00+00:00,23
2024-02-05 00:00:00+00:00,24
2024-03-26 00:00:00+00:00,25
2024-05-13 00:00:00+00:00,26
2024-06-29 00:00:00+00:00,27
2024-08-13 00:00:00+00:00,28
