time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-13 00:00:00+00:00,0,0,1,1
2022-11-14 00:00:00+00:00,1,1,3,2
2022-11-15 00:00:00+00:00,0,0,6,5
2022-11-16 00:00:00+00:00,0,0,2,1
2022-11-17 00:00:00+00:00,0,0,1,1
2022-11-18 00:00:00+00:00,0,0,1,1
2022-11-21 00:00:00+00:00,2,1,4,1
2022-11-22 00:00:00+00:00,2,1,3,3
2022-11-23 00:00:00+00:00,0,0,4,3
2022-11-24 00:00:00+00:00,0,0,1,1
2022-11-25 00:00:00+00:00,1,1,18,6
2022-11-26 00:00:00+00:00,2,2,3,2
2022-11-28 00:00:00+00:00,0,0,1,1
2022-11-30 00:00:00+00:00,0,0,4,4
2022-12-01 00:00:00+00:00,0,0,2,1
2022-12-02 00:00:00+00:00,0,0,4,3
2022-12-03 00:00:00+00:00,0,0,10,2
2022-12-05 00:00:00+00:00,0,0,3,3
2022-12-07 00:00:00+00:00,2,1,1,1
2022-12-09 00:00:00+00:00,0,0,1,1
2022-12-10 00:00:00+00:00,0,0,1,1
2022-12-11 00:00:00+00:00,1,1,0,0
2022-12-12 00:00:00+00:00,2,1,0,0
2022-12-13 00:00:00+00:00,2,2,1,1
2022-12-14 00:00:00+00:00,0,0,3,1
2022-12-15 00:00:00+00:00,0,0,1,1
2022-12-16 00:00:00+00:00,2,2,3,1
2022-12-17 00:00:00+00:00,0,0,1,1
2022-12-18 00:00:00+00:00,0,0,2,1
2022-12-20 00:00:00+00:00,1,1,0,0
2022-12-22 00:00:00+00:00,2,1,0,0
2022-12-23 00:00:00+00:00,0,0,1,1
2022-12-24 00:00:00+00:00,0,0,2,1
2022-12-29 00:00:00+00:00,4,2,0,0
2022-12-30 00:00:00+00:00,0,0,12,1
2023-01-01 00:00:00+00:00,1,1,1,1
2023-01-02 00:00:00+00:00,1,1,4,1
2023-01-03 00:00:00+00:00,2,1,1,1
2023-01-04 00:00:00+00:00,0,0,3,3
2023-01-05 00:00:00+00:00,0,0,2,2
2023-01-09 00:00:00+00:00,1,1,3,3
2023-01-10 00:00:00+00:00,0,0,19,2
2023-01-11 00:00:00+00:00,0,0,11,2
2023-01-12 00:00:00+00:00,1,1,0,0
2023-01-13 00:00:00+00:00,0,0,20,3
2023-01-18 00:00:00+00:00,0,0,5,1
2023-01-23 00:00:00+00:00,0,0,1,1
2023-01-26 00:00:00+00:00,1,1,1,1
2023-01-27 00:00:00+00:00,1,1,0,0
2023-01-28 00:00:00+00:00,1,1,0,0
2023-01-29 00:00:00+00:00,0,0,1,1
2023-01-30 00:00:00+00:00,0,0,10,2
2023-02-02 00:00:00+00:00,0,0,1,1
2023-02-03 00:00:00+00:00,0,0,4,2
2023-02-04 00:00:00+00:00,0,0,3,2
2023-02-06 00:00:00+00:00,0,0,5,3
2023-02-08 00:00:00+00:00,0,0,2,1
2023-02-10 00:00:00+00:00,1,1,1,1
2023-02-13 00:00:00+00:00,1,1,0,0
2023-02-15 00:00:00+00:00,1,1,0,0
2023-02-17 00:00:00+00:00,0,0,1,1
2023-02-18 00:00:00+00:00,1,1,1,1
2023-02-19 00:00:00+00:00,2,1,0,0
2023-02-21 00:00:00+00:00,0,0,2,1
2023-02-24 00:00:00+00:00,0,0,1,1
2023-02-25 00:00:00+00:00,0,0,1,1
2023-02-28 00:00:00+00:00,0,0,1,1
2023-03-01 00:00:00+00:00,0,0,9,1
2023-03-02 00:00:00+00:00,3,2,3,3
2023-03-05 00:00:00+00:00,0,0,1,1
2023-03-10 00:00:00+00:00,9,1,1,1
2023-03-11 00:00:00+00:00,1,1,1,1
2023-03-12 00:00:00+00:00,1,1,5,1
2023-03-14 00:00:00+00:00,1,1,0,0
2023-03-16 00:00:00+00:00,0,0,9,3
2023-03-17 00:00:00+00:00,1,1,0,0
2023-03-18 00:00:00+00:00,1,1,0,0
2023-03-19 00:00:00+00:00,0,0,1,1
2023-03-20 00:00:00+00:00,0,0,1,1
2023-03-23 00:00:00+00:00,0,0,1,1
2023-03-24 00:00:00+00:00,2,2,1,1
2023-03-25 00:00:00+00:00,0,0,1,1
2023-03-30 00:00:00+00:00,1,1,0,0
2023-04-02 00:00:00+00:00,0,0,2,1
2023-04-07 00:00:00+00:00,2,2,0,0
2023-04-08 00:00:00+00:00,0,0,9,2
2023-04-11 00:00:00+00:00,0,0,8,3
2023-04-13 00:00:00+00:00,0,0,5,1
2023-04-17 00:00:00+00:00,0,0,4,2
2023-04-18 00:00:00+00:00,1,1,1,1
2023-04-19 00:00:00+00:00,0,0,17,1
2023-04-21 00:00:00+00:00,0,0,2,1
2023-04-22 00:00:00+00:00,0,0,1,1
2023-04-23 00:00:00+00:00,0,0,2,1
2023-04-24 00:00:00+00:00,0,0,2,1
2023-04-26 00:00:00+00:00,0,0,7,1
2023-04-27 00:00:00+00:00,0,0,1,1
2023-05-03 00:00:00+00:00,0,0,1,1
2023-05-04 00:00:00+00:00,1,1,0,0
2023-05-05 00:00:00+00:00,0,0,2,1
2023-05-09 00:00:00+00:00,0,0,40,4
2023-05-11 00:00:00+00:00,0,0,1,1
2023-05-12 00:00:00+00:00,1,1,1,1
2023-05-14 00:00:00+00:00,0,0,1,1
2023-05-15 00:00:00+00:00,0,0,6,1
2023-05-18 00:00:00+00:00,0,0,14,1
2023-05-21 00:00:00+00:00,2,1,1,1
2023-05-22 00:00:00+00:00,0,0,3,3
2023-05-24 00:00:00+00:00,0,0,1,1
2023-05-27 00:00:00+00:00,1,1,0,0
2023-05-29 00:00:00+00:00,2,2,0,0
2023-05-30 00:00:00+00:00,0,0,1,1
2023-06-04 00:00:00+00:00,0,0,1,1
2023-06-07 00:00:00+00:00,0,0,1,1
2023-06-12 00:00:00+00:00,1,1,0,0
2023-06-13 00:00:00+00:00,0,0,11,1
2023-06-15 00:00:00+00:00,0,0,12,1
2023-06-18 00:00:00+00:00,1,1,1,1
2023-06-20 00:00:00+00:00,1,1,1,1
2023-06-21 00:00:00+00:00,1,1,0,0
2023-06-22 00:00:00+00:00,2,1,2,1
2023-06-23 00:00:00+00:00,0,0,1,1
2023-06-24 00:00:00+00:00,0,0,1,1
2023-06-25 00:00:00+00:00,1,1,0,0
2023-06-28 00:00:00+00:00,0,0,1,1
2023-06-30 00:00:00+00:00,1,1,3,1
2023-07-01 00:00:00+00:00,0,0,1,1
2023-07-04 00:00:00+00:00,0,0,8,1
2023-07-12 00:00:00+00:00,0,0,7,1
2023-07-13 00:00:00+00:00,0,0,1,1
2023-07-15 00:00:00+00:00,0,0,4,2
2023-07-18 00:00:00+00:00,1,1,14,1
2023-07-19 00:00:00+00:00,0,0,1,1
2023-07-23 00:00:00+00:00,0,0,1,1
2023-07-24 00:00:00+00:00,0,0,1,1
2023-07-28 00:00:00+00:00,2,1,0,0
2023-08-01 00:00:00+00:00,4,3,4,2
2023-08-02 00:00:00+00:00,1,1,1,1
2023-08-03 00:00:00+00:00,1,1,2,2
2023-08-04 00:00:00+00:00,3,3,4,2
2023-08-05 00:00:00+00:00,9,8,55,3
2023-08-06 00:00:00+00:00,5,3,0,0
2023-08-07 00:00:00+00:00,4,4,0,0
2023-08-08 00:00:00+00:00,5,4,0,0
2023-08-09 00:00:00+00:00,1,1,0,0
2023-08-10 00:00:00+00:00,1,1,0,0
2023-08-11 00:00:00+00:00,1,1,1,1
2023-08-12 00:00:00+00:00,0,0,4,1
2023-08-13 00:00:00+00:00,0,0,1,1
2023-08-14 00:00:00+00:00,4,3,71,13
2023-08-15 00:00:00+00:00,1,1,5,3
2023-08-16 00:00:00+00:00,1,1,3,3
2023-08-17 00:00:00+00:00,1,1,3,1
2023-08-18 00:00:00+00:00,0,0,1,1
2023-08-19 00:00:00+00:00,0,0,1,1
2023-08-20 00:00:00+00:00,0,0,1,1
2023-08-21 00:00:00+00:00,4,4,10,2
2023-08-22 00:00:00+00:00,1,1,2,2
2023-08-25 00:00:00+00:00,1,1,0,0
2023-08-26 00:00:00+00:00,0,0,5,1
2023-08-28 00:00:00+00:00,0,0,40,6
2023-08-29 00:00:00+00:00,5,5,36,10
2023-08-30 00:00:00+00:00,1,1,3,3
2023-08-31 00:00:00+00:00,0,0,2,2
2023-09-01 00:00:00+00:00,0,0,1,1
2023-09-02 00:00:00+00:00,0,0,15,1
2023-09-04 00:00:00+00:00,1,1,8,1
2023-09-05 00:00:00+00:00,0,0,1,1
2023-09-06 00:00:00+00:00,1,1,0,0
2023-09-07 00:00:00+00:00,0,0,23,5
2023-09-08 00:00:00+00:00,0,0,2,2
2023-09-09 00:00:00+00:00,0,0,1,1
2023-09-10 00:00:00+00:00,1,1,0,0
2023-09-11 00:00:00+00:00,0,0,10,2
2023-09-12 00:00:00+00:00,0,0,50,2
2023-09-13 00:00:00+00:00,1,1,0,0
2023-09-14 00:00:00+00:00,1,1,1,1
2023-09-16 00:00:00+00:00,1,1,6,1
2023-09-17 00:00:00+00:00,0,0,2,1
2023-09-19 00:00:00+00:00,0,0,11,3
2023-09-20 00:00:00+00:00,0,0,10,1
2023-09-21 00:00:00+00:00,0,0,2,1
2023-09-25 00:00:00+00:00,0,0,2,1
2023-09-26 00:00:00+00:00,1,1,3,3
2023-09-27 00:00:00+00:00,1,1,0,0
2023-09-28 00:00:00+00:00,0,0,1,1
2023-09-30 00:00:00+00:00,0,0,16,2
2023-10-01 00:00:00+00:00,1,1,0,0
2023-10-06 00:00:00+00:00,0,0,2,2
2023-10-07 00:00:00+00:00,0,0,35,2
2023-10-09 00:00:00+00:00,2,1,1,1
2023-10-10 00:00:00+00:00,2,1,0,0
2023-10-12 00:00:00+00:00,0,0,1,1
2023-10-13 00:00:00+00:00,0,0,1,1
2023-10-15 00:00:00+00:00,0,0,1,1
2023-10-16 00:00:00+00:00,0,0,4,3
2023-10-17 00:00:00+00:00,0,0,3,2
2023-10-18 00:00:00+00:00,0,0,8,2
2023-10-20 00:00:00+00:00,1,1,1,1
2023-10-23 00:00:00+00:00,0,0,9,1
2023-10-24 00:00:00+00:00,0,0,2,2
2023-10-25 00:00:00+00:00,0,0,37,3
2023-10-27 00:00:00+00:00,0,0,23,2
2023-10-29 00:00:00+00:00,1,1,0,0
