time_iso8601,forks_cumulative
2021-10-14 00:00:00+00:00,3
2021-10-25 00:00:00+00:00,4
2022-04-04 00:00:00+00:00,5
2022-06-06 00:00:00+00:00,6
2022-06-08 00:00:00+00:00,8
2022-06-18 00:00:00+00:00,9
2022-06-21 00:00:00+00:00,10
2022-06-26 00:00:00+00:00,11
2022-06-27 00:00:00+00:00,13
2022-07-19 00:00:00+00:00,14
2022-08-20 00:00:00+00:00,15
2022-08-23 00:00:00+00:00,16
2022-10-29 00:00:00+00:00,17
2022-11-14 00:00:00+00:00,18
2022-11-20 00:00:00+00:00,20
2022-11-23 00:00:00+00:00,21
2022-12-06 00:00:00+00:00,23
2022-12-11 00:00:00+00:00,24
2023-01-01 00:00:00+00:00,25
2023-01-03 00:00:00+00:00,26
2023-02-02 00:00:00+00:00,27
2023-02-10 00:00:00+00:00,28
2023-02-23 00:00:00+00:00,29
2023-02-25 00:00:00+00:00,30
2023-03-02 00:00:00+00:00,31
2023-03-30 00:00:00+00:00,32
2023-04-10 00:00:00+00:00,33
2023-06-19 00:00:00+00:00,34
2023-08-28 00:00:00+00:00,40
2023-08-29 00:00:00+00:00,41
2023-11-23 00:00:00+00:00,42
2023-12-09 00:00:00+00:00,43
2023-12-11 00:00:00+00:00,44
2024-03-24 00:00:00+00:00,45
2024-03-26 00:00:00+00:00,47
2024-03-28 00:00:00+00:00,48
2024-03-30 00:00:00+00:00,49
2024-05-06 00:00:00+00:00,51
