time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-07 00:00:00+00:00,,,8,8
2024-11-08 00:00:00+00:00,,,9,9
2024-11-09 00:00:00+00:00,,,33,13
2024-11-10 00:00:00+00:00,1.0,1.0,14,6
2024-11-11 00:00:00+00:00,,,25,13
2024-11-12 00:00:00+00:00,,,11,6
2024-11-13 00:00:00+00:00,,,15,10
2024-11-14 00:00:00+00:00,2.0,1.0,135,35
2024-11-15 00:00:00+00:00,,,108,44
2024-11-16 00:00:00+00:00,,,33,15
2024-11-17 00:00:00+00:00,,,20,12
2024-11-18 00:00:00+00:00,2.0,1.0,38,13
2024-11-19 00:00:00+00:00,1.0,1.0,55,14
2024-11-20 00:00:00+00:00,,,12,7
