time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-15 00:00:00+00:00,0,0,8,2
2022-11-18 00:00:00+00:00,0,0,1,1
2022-11-19 00:00:00+00:00,0,0,9,1
2022-11-20 00:00:00+00:00,0,0,1,1
2022-11-22 00:00:00+00:00,0,0,14,1
2022-11-25 00:00:00+00:00,0,0,5,1
2022-11-26 00:00:00+00:00,0,0,5,2
2022-11-29 00:00:00+00:00,0,0,8,1
2022-12-01 00:00:00+00:00,0,0,1,1
2022-12-02 00:00:00+00:00,0,0,1,1
2022-12-03 00:00:00+00:00,0,0,1,1
2022-12-06 00:00:00+00:00,0,0,4,1
2022-12-07 00:00:00+00:00,3,2,27,17
2022-12-08 00:00:00+00:00,0,0,23,14
2022-12-09 00:00:00+00:00,0,0,1,1
2022-12-10 00:00:00+00:00,0,0,1,1
2022-12-12 00:00:00+00:00,4,2,4,2
2022-12-13 00:00:00+00:00,2,1,2,2
2022-12-14 00:00:00+00:00,1,1,5,4
2022-12-15 00:00:00+00:00,0,0,2,1
2022-12-17 00:00:00+00:00,0,0,6,2
2022-12-19 00:00:00+00:00,0,0,1,1
2022-12-21 00:00:00+00:00,2,2,1,1
2022-12-25 00:00:00+00:00,4,3,0,0
2022-12-26 00:00:00+00:00,0,0,1,1
