time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-21 00:00:00+00:00,62.0,31.0,,
2023-04-22 00:00:00+00:00,58.0,24.0,,
2023-04-23 00:00:00+00:00,17.0,12.0,1.0,1.0
2023-04-24 00:00:00+00:00,,,6.0,1.0
2023-04-25 00:00:00+00:00,,,8.0,2.0
2023-04-26 00:00:00+00:00,42.0,33.0,19.0,2.0
2023-04-27 00:00:00+00:00,60.0,37.0,,
2023-04-28 00:00:00+00:00,66.0,38.0,,
2023-04-29 00:00:00+00:00,64.0,34.0,4.0,2.0
2023-04-30 00:00:00+00:00,19.0,17.0,16.0,2.0
2023-05-02 00:00:00+00:00,29.0,27.0,,
2023-05-03 00:00:00+00:00,61.0,34.0,27.0,3.0
2023-05-04 00:00:00+00:00,55.0,30.0,1.0,1.0
