time_iso8601,stars_cumulative
2021-06-28 00:00:00+00:00,1
2021-10-01 00:00:00+00:00,2
2021-10-24 00:00:00+00:00,3
2021-10-25 00:00:00+00:00,4
2021-12-14 00:00:00+00:00,5
2022-02-23 00:00:00+00:00,6
2022-03-14 00:00:00+00:00,7
2022-04-18 00:00:00+00:00,8
2022-05-06 00:00:00+00:00,9
2022-05-10 00:00:00+00:00,10
2022-06-03 00:00:00+00:00,11
2022-07-06 00:00:00+00:00,12
2022-10-15 00:00:00+00:00,13
2022-11-19 00:00:00+00:00,14
2022-11-23 00:00:00+00:00,15
2023-06-22 00:00:00+00:00,16
2023-08-14 00:00:00+00:00,17
2023-08-22 00:00:00+00:00,18
2023-08-28 00:00:00+00:00,19
2023-11-10 00:00:00+00:00,20
2023-12-29 00:00:00+00:00,21
2024-01-09 00:00:00+00:00,22
2024-05-06 00:00:00+00:00,23
2024-05-13 00:00:00+00:00,24
