time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-01 00:00:00+00:00,0,0,1,1
2022-06-02 00:00:00+00:00,0,0,7,2
2022-06-03 00:00:00+00:00,2,1,8,2
2022-06-04 00:00:00+00:00,0,0,3,2
2022-06-05 00:00:00+00:00,5,4,9,2
2022-06-07 00:00:00+00:00,0,0,7,3
2022-06-08 00:00:00+00:00,0,0,7,3
2022-06-09 00:00:00+00:00,1,1,0,0
2022-06-10 00:00:00+00:00,112,59,6,2
2022-06-11 00:00:00+00:00,166,68,2,2
2022-06-12 00:00:00+00:00,97,43,8,5
2022-06-13 00:00:00+00:00,65,36,22,4
2022-06-14 00:00:00+00:00,61,39,16,3
2022-06-15 00:00:00+00:00,19,15,2,2
2022-06-16 00:00:00+00:00,24,18,0,0
2022-06-17 00:00:00+00:00,62,34,6,4
2022-06-18 00:00:00+00:00,63,35,21,4
2022-06-19 00:00:00+00:00,17,14,18,4
2022-06-20 00:00:00+00:00,0,0,9,1
2022-06-21 00:00:00+00:00,0,0,27,3
2022-06-22 00:00:00+00:00,0,0,3,1
2022-06-23 00:00:00+00:00,0,0,1,1
2022-06-25 00:00:00+00:00,0,0,3,2
2022-06-26 00:00:00+00:00,0,0,3,3
2022-06-27 00:00:00+00:00,1,1,5,4
2022-06-28 00:00:00+00:00,0,0,4,2
2022-06-29 00:00:00+00:00,0,0,22,3
2022-06-30 00:00:00+00:00,1,1,3,3
2022-07-01 00:00:00+00:00,0,0,5,2
2022-07-03 00:00:00+00:00,0,0,1,1
